Category,Id,ParentId (more info),Speaker/Action (in blue),Stress,Affection,Darkness,BodyCn,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay003,weekday,ame,,,,早上起不来！好想死～～～,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay004,weekday,ame,,,,好想把直播鸽了～～可是数据要输给别人了，得赶快加把劲～ 阿P帮帮我,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay005,weekday,ame,,,,完全想不出什么有趣的整活点子！我应该怎么办呢？,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay006,weekday,ame,,,,啊干脆把事情全鸽了去看番吧，去看番！！我最爱看动画片了！！！！！！！！！！！！！！！！！！！！！！！！！！！！,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay007,weekday,ame,,,,糖糖已经很拼了吧？！可以不用再继续努力了吧？🥺,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay008,weekday,ame,,,,今晚我们吃拉面吧 来一碗像山一样高的拉面,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay009,weekday,ame,,,,今天的梦→我捅死了一只突然扑过来的熊，里面出现了浑身是血的阿P，想说要赶快办个葬礼才行，于是上网问大家葬礼应该怎么弄，谁知道评论区忽然起火一切都完蛋了,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay010,weekday,ame,,,,想靠兴趣养活自己（指彻底不工作睡了玩玩了睡过一辈子）,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay011,weekday,ame,,,,♪在山的那边海的那边有一位小天洗～她又活泼又聪明～她又调皮又伶俐～♪,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay012,weekday,ame,,,,大人凡事都要讲道理烦死了～～～～～～～～～ 阿P和我要一直当小朋友,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay013,weekday,ame,,,,我是不介意别人约我联动 但是总会忘记回消息 然后对方就会超生气……活着好艰难哦,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay014,weekday,ame,,,,总感觉今天特别饥渴是怎么肥四！过来让我上你！！！！,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay015,weekday,ame,,,,药要吃完了 救救我,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay016,weekday,ame,,,,直播的时候我总表现得好像点赞和粉丝数都是浮云的样子 但其实我超级在意的,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay017,weekday,ame,,,,我知道有人开了我的帖子 可是我好怕 不敢看～ 你替我看看吧,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay018,weekday,ame,,,,虽然我把黑子都拉黑了，但是好怕他们会记恨我，晚上做梦都梦到被喷……,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay019,weekday,ame,,,,一直用你的号看网飞 搞得现在推荐栏里都是我喜欢的片子类型 抱歉哦,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay020,weekday,ame,,,,昨天我趁你睡觉的时候偷拍了你的睡脸 还差点传到超天号上 吓死我了,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay021,weekday,ame,,,,如果让我变成格斗游戏里的角色 应该会是那种远程放风筝阴人的类型 虽然不会太弱 但是玩家应该都会很烦我吧？？？,,,,,,,,,,,,,,,,,,,,,,
Random Dusk/Night Texts,LineWeekDay022,weekday,ame,,,,喏，这是今天的小钢珠钱♪💴💴,,,,,,,,,,,,,,,,,,,,,,
