Id,CommandID (Info),OmoteBodyJp,OmoteBodyEn,OmoteBodyCn,OtomeBodyKo,OmoteBodyTw,OmoteImageId,BuzzPowerFav,BuzzPowerRT,UraBodyJp,UraBodyEn,UraBodyCn,UraBodyKo,UraBodyTw,UraImageId,isNight,isDay
Tweet000,Amechan_game (Play Game),N/A,N/A,N/A,,N/A,N/A,0,0,"キーーーッッッ！！！　悪魔会話ってむずかしすぎ！　
ラリって喋りかけてきてんじゃねーぞ💢キレたらこっちもODしてプレイしてやろうか？？？",god why are these demon negotiations so hard!!!!!!!! are they fucking high? maybe i should get high too,"气死偶咧――――！！！
恶魔对话也太难了吧？！别他妈嗑大了找老娘瞎逼逼💢搞火了信不信老娘也嗑大了陪你玩？？？",캬아악~!!! 악마회화 너무 어렵잖아! 뭔 약을 빨았는지 제대로 대화조차 하기 어렵다고💢 빡치는데 이쪽도 약이나 진탕 빨고 플레이해버려??,氣死我啦――――！！！跟惡魔對話也太難了吧？！別嗑了藥再來跟我哈拉💢把我惹火了信不信我也嗑起來陪你玩？？？,N/A,FALSE,FALSE
Tweet001,Amechan_game (Play Game),N/A,N/A,N/A,,N/A,N/A,0,0,あ～詰んだ詰んだボス倒せない……ピにレベル上げだけやってもらうか……怒るかな？,maaan ive been trying for hours but i still cant beat this boss battle... maybe i should get p-chan to grind levels for me lol pls dont be mad at me if i do🤣,啊～卡关了卡关了BOSS过不去……让阿P帮我刷刷级好了……不知道阿P会不会生气？,"아~ 막혔네, 막혔어. 보스를 도저히 못 깨겠어... P에게 레벨 노가다를 부탁해 볼까... 그러면 화내려나?",啊～卡關了卡關了BOSS過不去……讓阿P幫我練等好了……不知道阿P會不會生氣？ ><,N/A,FALSE,FALSE
Tweet002,Amechan_game (Play Game),N/A,N/A,N/A,,N/A,N/A,0,0,一瞬千撃！　瞬○殺コマンド大好き！！！　これしか押したくないくらい好き！,wrath of the raging demon is SO good wish i could use just this one combo haha DIE ONE THOUSAND DEATHS!!!!,一瞬千击！我超爱瞬狱杀的！！！爱到只想用这一招！,일순천격! 순○살 커맨드는 정말 짱이야!!! 이것만 계속 누르고 싶을만큼 좋단 말야!,一瞬千擊！我超愛瞬獄殺！！！愛到不想用別招了！,,FALSE,FALSE
Tweet003,Amechan_game (Play Game),N/A,N/A,N/A,,N/A,N/A,0,0,配信で格ゲーやったらオタクのファン増えるかなぁ。あ～、でも動画勢とかうっさそうだし辞めとくか。コンボ練習とかだるいし、ピとガチャガチャやってるのが一番すきだ,maybe ill get more nerd fans if i start streaming fighting games... ah but the stream comments will probably be super annoying so maybe not. learning combos is a pain anyway id rather play gacha with p-chan,播格斗游戏的话不知道能不能多吸点宅粉啊。啊～不过感觉那些只追直播的会很叽歪，还是算了。反正也懒得练连招，还是跟阿P一起瞎瘠薄按最有意思了,"방송에서 격투 게임을 플레이하면 덕후 팬이 늘어날까? 아~ 그치만, 실황만 좋아하는 녀석들이 시끄럽게 굴 테니 걍 관둘래. 콤보 연습만 하는 것도 지겹고, P랑 같이 뽑기를 돌리는 게 제일 좋으니까",不曉得實況格鬥遊戲能不能多吸點宅粉呢？啊～不過只追直播的那些感覺又很機歪，還是算了。反正也懶得練連招，還是跟阿P一起去轉蛋最有意思了,N/A,FALSE,FALSE
Tweet004,Amechan_game (Play Game),N/A,N/A,N/A,,N/A,N/A,0,0,"あ～専用のコントローラー欲しい！！！けど置いたら家の半分が埋まっちゃうし……そしたらピ怒るかも🥺　
こうなったらゲーセンでプレイしてオタクたち沸かせちゃうか～～？？？","i wanna get a fight stick!!! but itll probably end up getting buried in all the shit in my room... and then p-chan will get mad at me...🥺 
guess ill just go play at an arcade and show all the nerds there what ive got~",啊～好想要专属机台！！！可是买了家里也放不下……而且阿P可能会生气 要不直接去机厅让死宅围观下好了～～？？？,아~ 전용 컨트롤러 갖고 싶다!!! 근데 이거 사면 집 절반이 꽉 찰듯... P도 엄청 화내겠지🥺 그럴 바에야 오락실에서 플레이해서 오타쿠들을 열광하게 만드는 쪽이 나으려나~??,啊～好想要街機搖桿哦！！！可是超佔位，買了家裡也放不下……而且阿P可能會生氣 >< 要不直接去電動間讓阿宅圍觀就罷～～？？？,N/A,FALSE,FALSE
Tweet005,Amechan_game (Play Game),N/A,N/A,N/A,,N/A,N/A,0,0,"げげっ　音ゲーで盛り上がりすぎてたら両隣から壁ドンきたし……　
あめの部屋がリアル音ゲー状態になっちゃったよぅ🥺🥺",bleh i got too into playing rhythm games and my neighbors started banging on my walls... my room is turning into a rl rhythm game🥺🥺,呃啊啊 音游打太嗨被两边邻居砸墙了…… 糖糖的房间都变成音游机台（物理）了啦（哭）,"게엑... 리겜을 너무 달렸나, 양쪽에서 벽을 두들기네... 내 방이 현실 리겜장이 되어버렸어🥺🥺",呃啊啊！音Game打太嗨被兩邊鄰居同時抗議了……糖糖的房間直接變成自帶振動的音Game機台啦（咩噗）,N/A,FALSE,FALSE
Tweet006,Amechan_game (Play Game),N/A,N/A,N/A,,N/A,N/A,0,0,イベント走らなきゃ……イベント走らなきゃ……イベント走らなきゃ……イベント走らなきゃ……イベント走らなきゃ……イベント走らなきゃ……イベント走らなきゃ……イベント走らなきゃ……イベント走らなきゃ……イベント走らなきゃ……,need to grind... need to grind... need to grind... need to grind... need to grind... need to grind... need to grind... need to grind... need to grind... need to grind...,要肝活动……要肝活动……要肝活动……要肝活动……要肝活动……要肝活动……要肝活动……要肝活动……要肝活动……要肝活动……,이벤트 달려야 해... 이벤트 달려야 해... 이벤트 달려야 해... 이벤트 달려야 해... 이벤트 달려야 해... 이벤트 달려야 해... 이벤트 달려야 해... 이벤트 달려야 해... 이벤트 달려야 해... 이벤트 달려야 해...,要跑活動……要跑活動……要跑活動……要跑活動……要跑活動……要跑活動……要跑活動……要跑活動……要跑活動……要跑活動……,N/A,FALSE,FALSE
Tweet007,Amechan_game (Play Game),N/A,N/A,N/A,,N/A,N/A,0,0,気づいたら課金額天井きた……ウソでしょ、自分の美容代よりかかってんやけどぉ🥺　コワ～～～,i hit my gacha budget ALREADY? this thing is costing me more money than the beauty salon🥺 yikes,失智氪到井了……不是吧，比我在美容上花的钱还多 可怕～～～,헐 벌써 과금 천장 찍어버렸네... 말도 안 돼. 내 미용비보다 더 많이 써버렸잖아🥺 과금 무셔~,回過神來才發現課金課到上限額……太傻眼了，比我花在保養上的錢還多（抖）可怕～～～,N/A,FALSE,FALSE
Tweet008,Amechan_ichatsuku (Cuddle) ,N/A,N/A,N/A,,N/A,N/A,0,0,"ピとゴロゴロしてた！！！！！！！！！！　
体力満タン💪ストレスゼロ✨フル充電🔋視界良好🤩結婚目前💗世界平和🙏人類最高😇✨✨","spent the whole day lazing around with p-chan!!!!!!!!!!!!!
energy: restored💪 
stress: gone✨
batteries: charged🔋
hope: also restored🤩
marriage: soon💗
world peace: achieved🙏
humanity: uncancelled😇✨✨","今天一天都跟阿P在家滚来滚去！！！！！！！！！！
体力满格💪 压力归零✨ 充电完毕🔋 展望极佳🤩结婚在即💗 世界和平🙏 人类最高😇✨✨",P랑 같이 뒹굴거렸어~!!! 체력 완전 회복💪 스트레스 제로✨ 풀 충전 완료🔋 시야 양호🤩 결혼이 눈앞💗 세계 평화🙏 인류 짱짱😇✨✨,"今天整天都跟阿P在家裡滾來滾去！！！！！！！！！！
體力滿格💪 壓力歸零✨ 充電完畢🔋 充滿希望🤩結婚在即💗 世界和平🙏 人類萬歲😇✨✨",,FALSE,FALSE
Tweet009,Amechan_ichatsuku (Cuddle),"大切な人います



なんて嘘だよ💦　
超てんちゃんはいつだってみんなのアイドルだからね🥺　
恋愛なんて仕事のおジャマ虫！！！！","I'm taken💦

...aback by all of my lovely fans, that is!
I'll always be your one and only, so don't you worry. Nothing good comes from pursuing romance!",其实我已经有喜欢的人了……骗你们的啦💦超天酱永远是大家的爱抖露 恋爱什么的只是我伟大征途上的绊脚石啦！！！！,"소중한 사람이 생겼답니다...
  
  
  
당연히 뻥이지💦 난 언제나 너희 모두의 아이돌인걸🥺 연애같은 건 일에 방해만 된다구~!!!!",其實我已經有喜歡的人了……啊哈～騙你們的啦💦超天醬永遠是大家的偶像 談戀愛什麼的只是浪費時間！！！！,N/A,70,30,"ピとゲームしたりアニメ見たりコンビニ行ったりぎゅって抱きついたりした最高！！！！！！！！！！！！！！！！！！！！！！！！！！
わたしの恋人は世界一！！！！！！！！！！！！１",whats better than playing games and watching anime and going to the conbini and getting hugs from p-chan? nothing!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! your SO could never!!!!!!!!!!!!!!!1,今天跟P一起玩游戏看动画买零食抱紧紧超开心！！！！！！！！！！！！！！！！！！！！！！！！！！！！我对象世界第一！！！！！！！！！！！！1,"P랑 게임도 하고, 애니메이션도 보고, 편의점에도 가고, 꼭 끌어안기도 했어. 정말 짱이야!!!!! 우리 애인 세계 최고~!!!!1",今天跟P一起玩遊戲看動畫買零食抱緊緊超開心！！！！！！！！！！！！！！！！！！！！！！！！！！！！我男友世界第一！！！！！！！！！！！！1,,FALSE,FALSE
